State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Utah,3141,Textile furnishings mills,2021,"44,867",0.0,"8,623",0.0,"2,077",0.0,218,0.0,169,0.0,304,0.0,"5,346",0.0,"18,552",0.0,"26,282",0.0,D,D,50% to less than 60%,20% to less than 30%,90% to 100%
Utah,3149,Other textile product mills,2021,"121,992",7.9,"22,116",10.8,"5,578",16.5,342,37.0,253 (s),48.2,430 (s),59.4,"12,573",13.7,D,D,"68,019",7.7,"1,968",0.7,30% to less than 40%,30% to less than 40%,70% to less than 80%
Utah,3314,Nonferrous metal (except aluminum) production and processing,2021,"3,279,282",0.0,"137,701",0.0,"36,068",0.0,"1,869",0.0,"1,410",0.0,"2,757",0.0,"89,541",0.0,"1,244,651",0.0,"2,139,553",0.0,D,D,20% to less than 30%,20% to less than 30%,10% to less than 20%
Vermont,313,Textile mills,2021,D,D,"7,361",0.0,"1,820",0.0,105,0.0,82,0.0,201,0.0,"4,485",0.0,D,D,D,D,D,D,D,Less than 10%,30% to less than 40%
Vermont,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vermont,3132,Fabric mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,0,X,D,D,D
Vermont,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vermont,314,Textile product mills,2021,D,D,D,D,565,0.0,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vermont,3141,Textile furnishings mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vermont,3149,Other textile product mills,2021,D,D,"2,107",0.0,D,D,20 to 99 employees,D,36,0.0,65,0.0,"1,209",0.0,D,D,D,D,D,D,D,40% to less than 50%,D
Vermont,3314,Nonferrous metal (except aluminum) production and processing,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Virginia,313,Textile mills,2021,"897,959",2.1,"131,562",3.9,"32,218",3.6,"3,259",3.6,"2,704",4.0,"5,537",5.3,"95,908",4.8,"440,837",2.0,"460,200",2.2,D,D,40% to less than 50%,10% to less than 20%,30% to less than 40%
Virginia,3131,"Fiber, yarn, and thread mills",2021,"171,110",0.0,"28,242",0.0,"6,942",0.0,745,0.0,675,0.0,"1,401",0.0,"22,620",0.0,"106,795",0.0,D,D,"3,630",0.0,Less than 10%,Less than 10%,10% to less than 20%
Virginia,3132,Fabric mills,2021,"613,581",3.0,"88,533",5.7,"21,576",5.4,"2,174",5.4,"1,767",6.2,"3,551",8.3,"64,704",7.2,"250,386",3.6,"367,419",2.8,"12,761",2.7,50% to less than 60%,20% to less than 30%,30% to less than 40%
Virginia,3133,Textile and fabric finishing and fabric coating mills,2021,"113,268",0.0,"14,787",0.0,"3,700",0.0,340,0.0,262,0.0,585,0.0,"8,584",0.0,"83,656",0.0,D,D,D,D,40% to less than 50%,Less than 10%,60% to less than 70%
Virginia,314,Textile product mills,2021,"557,107",2.5,"69,556",8.2,"18,159",3.3,"2,172",8.3,"1,840",9.9,"2,716",34.0,"52,424",10.1,"209,835",2.8,"352,492",3.1,D,D,90% to 100%,60% to less than 70%,70% to less than 80%
Virginia,3141,Textile furnishings mills,2021,"197,135",6.2,"23,495",22.7,"7,108",5.4,932,18.6,855,20.8,928 (s),99.1,"19,396",26.8,"110,173",4.8,"89,894",11.6,D,D,90% to 100%,80% to less than 90%,60% to less than 70%
Virginia,3149,Other textile product mills,2021,"359,972",1.7,"46,061",4.4,"11,052",4.2,"1,240",4.1,984,3.8,"1,788",3.9,"33,028",3.3,"99,661",2.8,"262,598",1.4,"1,814",0.0,90% to 100%,60% to less than 70%,70% to less than 80%
Virginia,3314,Nonferrous metal (except aluminum) production and processing,2021,"457,292",0.0,"39,120",0.0,"9,062",0.0,661,0.0,490,0.0,"1,019",0.0,D,D,"261,284",0.0,D,D,"8,525",0.0,40% to less than 50%,Less than 10%,Less than 10%
Washington,313,Textile mills,2021,"135,041",0.0,"26,309",0.0,"6,286",0.0,486,0.0,428,0.0,813,0.0,"20,592",0.0,D,D,D,D,"3,287",0.0,20% to less than 30%,Less than 10%,10% to less than 20%
Washington,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,"1,983",0.0,D,D,D,D,D,D,D
Washington,3132,Fabric mills,2021,"121,633",0.0,"23,875",0.0,"5,689",0.0,439,0.0,D,D,719,0.0,D,D,D,D,D,D,"2,881",0.0,20% to less than 30%,Less than 10%,10% to less than 20%
Washington,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Washington,314,Textile product mills,2021,"320,882",2.5,"69,043",4.3,"17,888",5.9,"1,215",13.1,771,22.0,"1,752",6.7,"33,922",8.3,D,D,D,D,"1,984",10.7,50% to less than 60%,10% to less than 20%,50% to less than 60%
Washington,3141,Textile furnishings mills,2021,"32,686",1.1,"8,230",10.4,"2,239",18.6,168,4.4,98,1.5,190,0.8,"3,242",7.6,D,D,D,D,102,0.0,60% to less than 70%,50% to less than 60%,70% to less than 80%
Washington,3149,Other textile product mills,2021,"288,196",2.8,"60,813",4.7,"15,649",6.1,"1,046",15.2,673,25.2,"1,562",7.6,"30,680",9.1,D,D,D,D,"1,882",11.3,50% to less than 60%,10% to less than 20%,50% to less than 60%
Washington,3314,Nonferrous metal (except aluminum) production and processing,2021,D,D,D,D,D,D,572,0.0,D,D,D,D,D,D,"148,714",0.0,D,D,"9,044",0.0,D,D,Less than 10%
West Virginia,313,Textile mills,2021,D,D,D,D,382,0.0,31,0.0,D,D,46,0.0,"1,033",0.0,D,D,D,D,D,D,D,D,80% to less than 90%
West Virginia,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
West Virginia,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
West Virginia,314,Textile product mills,2021,D,D,D,D,308,0.0,43,0.0,32,0.0,37,0.0,702,0.0,D,D,D,D,D,D,D,D,90% to 100%
West Virginia,3141,Textile furnishings mills,2021,"1,147",0.0,D,D,D,D,0 to 19 employees,D,5,0.0,9,0.0,D,D,D,D,D,D,D,D,90% to 100%,D,D
West Virginia,3149,Other textile product mills,2021,D,D,983,0.0,D,D,20 to 99 employees,D,27,0.0,28,0.0,D,D,D,D,D,D,D,D,D,Less than 10%,D
West Virginia,3314,Nonferrous metal (except aluminum) production and processing,2021,"789,176",0.0,"84,631",0.0,"21,429",0.0,"1,182",0.0,806,0.0,"1,637",0.0,"49,085",0.0,"629,728",0.0,"165,443",0.0,"26,184",0.0,70% to less than 80%,60% to less than 70%,70% to less than 80%
Wisconsin,313,Textile mills,2021,"448,706",0.3,"55,457",0.8,"13,709",1.0,891,0.8,672,1.3,"1,385",0.7,"36,553",1.0,"231,201",1.0,"219,665",1.3,"59,727",1.2,40% to less than 50%,Less than 10%,20% to less than 30%
Wisconsin,3131,"Fiber, yarn, and thread mills",2021,"7,586",0.0,"1,075",0.0,269,0.0,32,0.0,28,0.0,47,0.0,D,D,"4,909",0.0,D,D,D,D,90% to 100%,Less than 10%,30% to less than 40%
Wisconsin,3132,Fabric mills,2021,"391,092",0.3,"43,710",1.0,"10,817",1.2,694,1.0,535,1.6,"1,121",0.9,"29,843",1.2,"197,613",1.1,"195,071",1.4,D,D,40% to less than 50%,Less than 10%,20% to less than 30%
Wisconsin,3133,Textile and fabric finishing and fabric coating mills,2021,"50,028",0.0,"10,672",0.0,"2,623",0.0,165,0.0,109,0.0,217,0.0,D,D,"28,679",0.0,D,D,D,D,20% to less than 30%,10% to less than 20%,20% to less than 30%
Wisconsin,314,Textile product mills,2021,"107,860",13.4,"25,937",32.6,"5,910",33.5,566 (s),49.1,437,33.6,800,31.1,"11,935 (s)",48.7,"40,677",13.1,D,D,"2,004",18.6,70% to less than 80%,30% to less than 40%,60% to less than 70%
Wisconsin,3141,Textile furnishings mills,2021,"18,396",0.0,"4,149",0.0,"1,095",0.0,137,0.0,102,0.0,126,0.0,"2,218",0.0,"6,828",0.0,D,D,866,0.0,60% to less than 70%,10% to less than 20%,40% to less than 50%
Wisconsin,3149,Other textile product mills,2021,"89,464",16.1,"21,788",38.8,"4,815 (s)",41.2,429 (s),64.8,335 (s),43.8,674,37.0,"9,717 (s)",59.8,"33,849",15.8,"55,216",16.0,"1,138",32.8,70% to less than 80%,30% to less than 40%,70% to less than 80%
Wisconsin,3314,Nonferrous metal (except aluminum) production and processing,2021,D,D,D,D,D,D,250 to 499 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,313,Textile mills,2021,D,D,D,D,213,0.0,20 to 99 employees,D,18,0.0,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,314,Textile product mills,2021,D,D,"4,757",0.0,"1,156",0.0,99,0.0,D,D,D,D,"2,302",0.0,D,D,"7,608",0.0,D,D,D,Less than 10%,30% to less than 40%
Wyoming,3141,Textile furnishings mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,3149,Other textile product mills,2021,D,D,D,D,D,D,20 to 99 employees,D,56,0.0,D,D,D,D,D,D,D,D,D,D,D,D,D
Wyoming,3314,Nonferrous metal (except aluminum) production and processing,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,0,X,D,D,D
